DATE,MORTGAGE30US
1980-01-01,13.7421153846153846
1981-01-01,16.6415094339622642
1982-01-01,16.0436538461538462
1983-01-01,13.2353846153846154
1984-01-01,13.8776923076923077
1985-01-01,12.4301923076923077
1986-01-01,10.1873076923076923
1987-01-01,10.2133962264150943
1988-01-01,10.3417307692307692
1989-01-01,10.3194230769230769
1990-01-01,10.1294230769230769
1991-01-01,9.2465384615384615
1992-01-01,8.3901886792452830
1993-01-01,7.3146153846153846
1994-01-01,8.3807692307692308
1995-01-01,7.9346153846153846
1996-01-01,7.8061538461538462
1997-01-01,7.5988461538461538
1998-01-01,6.9426415094339623
1999-01-01,7.4400000000000000
2000-01-01,8.0534615384615385
2001-01-01,6.9678846153846154
2002-01-01,6.5373076923076923
2003-01-01,5.8269811320754717
2004-01-01,5.8392307692307692
2005-01-01,5.8667307692307692
2006-01-01,6.4132692307692308
2007-01-01,6.3373076923076923
2008-01-01,6.0271698113207547
2009-01-01,5.0365384615384615
2010-01-01,4.6898076923076923
2011-01-01,4.4478846153846154
2012-01-01,3.6575000000000000
2013-01-01,3.9755769230769231
2014-01-01,4.1688679245283019
2015-01-01,3.8505769230769231
2016-01-01,3.6540384615384615
2017-01-01,3.9898076923076923
2018-01-01,4.5446153846153846
2019-01-01,3.9357692307692308
2020-01-01,3.1116981132075472
2021-01-01,2.9576923076923077
2022-01-01,5.3440384615384615
2023-01-01,6.8067307692307692
